article,label,classification_binary,misclassification_type
"… Em entendimento com o governo, o Congresso não analisará antes do relatório bimestral o veto de Lula sobre os R$ 5,6 bi de emendas de comissão, dentro dos esforços da equipe econômica para limitar o contingenciamento.",-1,1,-1 misclassified as 1
"… Na consulta ao tribunal, o Planejamento estimou que a regra prevista na LDO limitaria o bloqueio a um valor máximo de R$ 25,9 bi, contra cerca de R$ 50 bi que o mercado estima ser necessário para o cumprimento da meta.",-1,1,-1 misclassified as 1
"… Fica a ansiedade no ar, se Haddad vai continuar bancando a promessa e a “sobrevida” do déficit zero, diante da melhora da percepção fiscal neste início de ano, ou se a Fazenda já dará algum choque imediato de realidade.",-1,1,-1 misclassified as 1
"… Galípolo e Guillen já andaram telegrafando que o compromisso com novos cortes de 0,5pp da Selic pode ser quebrado em algum momento. Mas talvez ainda não agora, segundo a avaliação de pelo menos dois grandes bancos.",-1,1,-1 misclassified as 1
"CAPTAÇÕES – O governo pediu ao Senado a ampliação em US$ 50 bilhões, de US$ 75 bilhões para US$ 125 bilhões, do teto estabelecido para a emissão de títulos públicos no exterior, informa o Estadão.",-1,1,-1 misclassified as 1
"… O dólar acompanhou o clima ruim lá fora e testou mais uma vez o teto dos R$ 5 na máxima do dia (R$ 5,0016). Mas depois a pressão diminuiu com a expectativa de um Copom mais conservador, o que favoreceria o carry trade.",-1,1,-1 misclassified as 1
"… Nos Treasuries, o juro da note de 2 anos avançou a 4,732% (4,706%) e o da note de 10 anos subiu a 4,313%, de 4,296%. O do T-bond de 30 anos caiu a 4,4303% (4,4342%).",1,-1,1 misclassified as -1
"VALE. Novo presidente, que substituirá Eduardo Bartolomeo em 2025, poderá ser ligado a acionistas representativos da mineradora…",1,-1,1 misclassified as -1
"… Apesar das desconfianças fiscais, Campos Neto manifestou, em entrevista à Folha no final de semana, otimismo de que o governo Lula tem condições de entregar um déficit menor do que a projeção do mercado (0,7% a 0,8% do PIB)",1,-1,1 misclassified as -1
"… O dólar fechou em baixa de 0,35%, aos R$ 4,9553, com perda semanal de 0,76% na semana.",1,-1,1 misclassified as -1
"… Medido pelo ISM, o PMI industrial dos EUA caiu a 47,8 em fevereiro, ante 49,1 em janeiro e previsão de 49,5.",1,-1,1 misclassified as -1
"… O consumidor ficou menos otimista. O índice de sentimento da Universidade de Michigan caiu a 76,9 em fevereiro, de 79,0 em janeiro. Analistas esperavam avanço a 79,6.",1,-1,1 misclassified as -1
