cleaned_article,label,classification_multi,misclassification_type
documento definizer ser necessário bloquear despesa cumprimento meta fiscal zerar déficit conta público receita computar ajudar reduzir contingenciamento,0,-1,0 misclassified as -1
decisão estratégico medida provisória atualmente revogar perse reonerar prefeitura ser mantir equipe econômico contabilizar aumento receita prever apesar tema ser enviar pl,0,1,0 misclassified as 1
entendimento governo congresso analisar relatório bimestral veto lula bi emenda comissão esforço equipe econômico limitar contingenciamento,-1,1,-1 misclassified as 1
consulta tribunal planejamento estimar regra prever ldo limitar bloqueio bi cerca bi mercado estimar necessário cumprimento meta,-1,1,-1 misclassified as 1
mercado consenso meta fiscal ser mudar alteração ficar relatório bimestral maio governo ter clareza situação conta,-1,0,-1 misclassified as 0
ficar ansiedade ar haddad continuar bancar promessa sobrevida déficit melhora percepção fiscal início ano fazenda dar algum choque imediato realidade,-1,0,-1 misclassified as 0
mercado continuar colocar dúvida capacidade governo arrecadar necessário atingir meta déficit ano tesouro turbinar projeção receita relatório divulgar,-1,0,-1 misclassified as 0
semana passado informar devido fato ano eleitoral fazenda adiar envio plano reforma tributário renda tratar item cobrança imposto renda dividendo,0,-1,0 misclassified as -1
economista duvidar banco central encerrer ciclo corte atingir retirada forward guidance deixa copom cortar maio parar cortar junho julho,-1,0,-1 misclassified as 0
galípolo guillen andar telegrafar compromisso corte especial liquidação custódia quebrar algum avaliação banco,-1,0,-1 misclassified as 0
mercado prever avanço dezembro projeção broadcast queda alta base anualizar dado avançar mediana dezembro,0,-1,0 misclassified as -1
inflação sair hoje cair março cair fevereiro perda ímpeto deflação preço agropecuário produtor,0,-1,0 misclassified as -1
captações governo pedir senado ampliação bilhão bilhão bilhão teto estabelecer emissão título público exterior informar estadão,-1,0,-1 misclassified as 0
rússia vitória putin mandato domingo levantar contestação estados unidos ucrânia,0,-1,0 misclassified as -1
cenário singular aversão risco exterior dar surpreendentemente forte atividade doméstico pesar juro dólar índice bovespa,0,-1,0 misclassified as -1
dia anterior estados unidos divulgar ppi acima esperar investidor estar ajustar posição cenário corte juro estados unidos,0,-1,0 misclassified as -1
varejo brasileiro surpreender serviço ficar acima esperar janeiro ante dezembro dado dezembro ajustar alta,0,1,0 misclassified as 1
colocar viés alta projeção produto interno dar força debate mudança forward guidance copom substituição plural singular próximo reunião,0,1,0 misclassified as 1
caso atividade continuar surpreender visão ver especial liquidação custódia abaixo consenso mercado mudar,0,-1,0 misclassified as -1
dólar acompanhar clima ruim testar teto grande dia pressão diminuir expectativa copom conservador favorecer carry trade,-1,1,-1 misclassified as 1
declaração empresa josé luciano duarte penido haver interferência político processo sucessão eduardo bartolomeo continuar pesar,-1,0,-1 misclassified as 0
semana brent subir wti alta,-1,0,-1 misclassified as 0
casas bahia cair lojas renner baixar,0,-1,0 misclassified as -1
espera fed percepção fed indicar ritmo corte juro semana continuar pressionar bolsa ny abastecer rodada alta juro treasuries,0,-1,0 misclassified as -1
dado janeiro revisar,0,-1,0 misclassified as -1
leitura preliminar índice sentimento consumidor estados unidos cair fevereiro março expectativa avanço,0,-1,0 misclassified as -1
expectativa inflação vir cair ficar seguir ano,0,-1,0 misclassified as -1
lombard odier asset dado apontar economia fraco preço desaceler ritmo lento último dia mercado preferir abraçar narrativa inflação,0,-1,0 misclassified as -1
ny peso alta retorno treasuries techs recuar nasdaq perder dow jones cair recuar,0,-1,0 misclassified as -1
treasuries juro note ano avançar note ano subir ano cair,1,-1,1 misclassified as -1
x antigo twitter presidente petrobras jean paul prates voltar defender noite exploração petróleo margem equatorial litoral norte brasil elemento fundamental transição energético,0,-1,0 misclassified as -1
vale presidente substituir eduardo bartolomeo acionista representativo mineradora,1,0,1 misclassified as 0
aéreas governo rever proposta socorro discutir agenda setor envolver crédito investimento sustentável mudança regulatório diminuir grau judicialização abrir mercado interno companhia estrangeiro,0,1,0 misclassified as 1
inspira rede educação básico brasil receber investimento bilhão advent fundo americano private equity oferta inicial ação ipo,0,1,0 misclassified as 1
apesar desconfiança fiscal campos neto manifestar entrevista folha semana otimismo governo lula condição entregar déficit projeção mercado produto interno bruto,1,-1,1 misclassified as -1
dizer projetar especial liquidação custódia terminal produto interno bruto estável surpresa mercado manter aposta copom derrubar juro março,0,1,0 misclassified as 1
casa especular banco central poder remover comunicado política monetário uso plural empregar sinalizar continuidade ritmo corte lançar dúvida maio junho,0,-1,0 misclassified as -1
último semana integrante copom esconder receio impacto salário renda inflação serviço pôr dúvida chance especial liquidação custódia terminar ciclo relaxamento dígito,-1,0,-1 misclassified as 0
inflação semana comedir fevereiro hoje desacelerar janeiro mediana broadcast interfinanceiro fevereiro prévia,0,-1,0 misclassified as -1
aliados pacheco relatar incomodado estar ser preterir câmara episódio recente causar ruído escolha senador rogério carvalho relatoria índice preço consumidor braskem,0,-1,0 misclassified as -1
conforto haddad banco central flexibilidade gente discutir fazer revelia dizer rcn perfil x gleisi reagir pec submete brasil ditadura monetário,0,1,0 misclassified as 1
zona euro pressão leitura preliminar fevereiro índice preço consumidor anular esperança corte prematuro juro abril bce ficar confortável sinalizar desaperto junho,0,-1,0 misclassified as -1
petróleo confirmar expectativa puxar força cotação petróleo abaixo bloomberg informar domingo decidir estender corte produção milhão bpd,0,-1,0 misclassified as -1
pesar desempenho modesto vale refletir forte queda minério dalian petrobras conseguir absorver ganho petróleo,0,-1,0 misclassified as -1
alta vier expectativa confirmar domingo estender corte voluntário produção trimestre,0,-1,0 misclassified as -1
recuo yields treasuries produto interno bruto brasileiro estável reduzir prêmio dis,0,-1,0 misclassified as -1
fechamento depósito interfinanceiro cair depósito interfinanceiro,0,-1,0 misclassified as -1
dólar fechar baixa perda semanal semana,1,0,1 misclassified as 0
potencial boom produtividade proveniente tecnologia continuar alimentar ganho mercado ação próximo ano afirmar,0,1,0 misclassified as 1
queda juro treasuries outro fator ajudar bolsa dia volátil,0,-1,0 misclassified as -1
slok escrever economia estados unidos suavizando chamado pivô fed dezembro criar vento favorável crescimento,0,1,0 misclassified as 1
medido ism pmi industrial estados unidos cair fevereiro ante janeiro previsão,1,0,1 misclassified as 0
consumidor ficar otimista índice sentimento universidade michigan cair fevereiro janeiro analista esperar avanço,1,0,1 misclassified as 0
investimento construção cair janeiro ante dezembro esperar alta,1,0,1 misclassified as 0
waller diretor banco central americano defender desaceleração ritmo redução balanço dizer favorável parcela título tesouro curto prazo,0,-1,0 misclassified as -1
bateria discurso dirigente fed tom barkin reiterar pressa cortar juro veremos ir reduzir economia dir dever afirmar,0,-1,0 misclassified as -1
robert holzmann bce voltar alertar corte prematuro juro ing lentidão desinflação levar bce manter juro março abril mesmo opinião bofa oxford capital economics,1,0,1 misclassified as 0
libra avançar huw pill boe dizer corte juro demor preciso evitar falso sensação segurança avaliar inflação caminhar meta,1,0,1 misclassified as 0
iene cair índice dxy recuar dia cair semana,1,0,1 misclassified as 0
faltar semana índice nacional preço consumidor amplo fevereiro presidente banco central insistir acsp preço trajetória queda pressão serviço continuar rodar acima período,-1,0,-1 misclassified as 0
reforçar declaração haver dar semana viés positivo conta público avaliação ano déficit projetar economista,0,-1,0 misclassified as -1
investidor zerar déficit promessa fazer cumprir puder sonhar algum bom focus aposta percepção fiscal ancorado,0,1,0 misclassified as 1
resultado mau conta público continuar depender crescimento econômico consistente surpresa positivo arrecadação federal enfrentamento governo revisão gasto,0,1,0 misclassified as 1
impacto cheio reajuste junho ocorrer ano consumir ministra dizer espaço orçamentário ser destinar reajuste,0,-1,0 misclassified as -1
dweck prever aumento salarial porcentual linear,1,0,1 misclassified as 0
avaliar contingenciamento orçamento cumprir meta fiscal ser apresentar março relatório bimestral receita despesa dia esperar,0,1,0 misclassified as 1
tebet antecipar arrecadação fevereiro vir acima esperado janeiro,1,0,1 misclassified as 0
consulta tcu planejamento estimar regra prever ldo limitar bloqueio bi cerca bi mercado estimar necessário governo cumprir meta,-1,1,-1 misclassified as 1
front fiscal ministro alexandre padilha dizer haddad esclarecer deputado programa emergencial setor evento perse extinguir governo elevar arrecadação,0,-1,0 misclassified as -1
círculo registrar acumulado fevereiro fuga capital externo ano pandemia coronavírus prestes estourar,-1,1,-1 misclassified as 1
investidor espera powell payroll possível estímulo china liquidez baixo oscilação estreita mercado doméstico,0,-1,0 misclassified as -1
mercado óleo bruto disparar expectativa estender corte produção cair confirmação notícia,0,-1,0 misclassified as -1
brent maio barril ice wti abril nymex,1,0,1 misclassified as 0
fechamento depósito interfinanceiro cair depósito interfinanceiro cair fechar estável,1,-1,1 misclassified as -1
aposta economia forte inflação queda lento presidente fed redobrar mensagem haver pressa cortar juro fazer dirigente discurso diário,0,-1,0 misclassified as -1
libra alta iene cair expectativa mudança postura boj rabobank prever elevação juro banco central japonês abril provável,-1,0,-1 misclassified as 0
banco holandês avaliar iene ganhar fôlego decisão março boj algum especulação mudança juro,0,1,0 misclassified as 1
acordo relatório apresentar congresso americano fed considerar juro pico ciclo aperto apropriar cortar taxa confiança desinflação,0,-1,0 misclassified as -1
