DataHora,Manchete,Direção,Previsão
2024-12-20 14:07:00,Randolfe comemora conclusão do pacote fiscal e projeta pelo menos R$ 60 bilhões de economia até 2030,Aumento,-1
2024-12-20 14:13:00,"EMPRESAS: Suzano avalia compra da americana Clearwater Paper, dizem fontes",Diminuição,-1
2024-12-20 14:14:00,Pacheco: Confirmação do adiamento do PLOA caberá ao próximo presidente do Senado,Diminuição,-1
2024-12-20 14:14:00,Certamente começaremos 2025 já com uma nova mesa comprometida com o Orçamento,Diminuição,-1
2024-12-20 14:16:00,MERCADOS: Bolsas europeias recuam com nova ameaça de Trump de impor tarifas ao bloco,Diminuição,-1
2024-12-20 14:28:00,Lira diz que Haddad ficou mais desgastado ao lançar pacote do que ao final das votações,Aumento,-1
2024-12-20 14:42:00,Congresso tem 'carta na manga' para tentar acabar com governabilidade de Lula,Aumento,-1
2024-12-20 14:44:00,Pacheco: Certamente 2025 vai ser pautado por discussão da qualidade do gasto público,Aumento,-1
2024-12-20 14:44:00,As próprias emendas parlamentares pode ser discutidas,Aumento,-1
2024-12-20 14:44:00,Pacote não é um exaurimento; é início de uma jornada de responsabilidade fiscal,Aumento,-1
2024-12-20 14:48:00,"EMPRESAS: Automob lidera entre as maiores perdas, mas mantém fortes ganhos da estreia",Aumento,1
2024-12-20 14:49:00,"EUA: Agências federais devem se preparar para paralisação, alerta Casa Branca",Aumento,-1
2024-12-20 14:51:00,"Ibovespa vira e sobe 0,24%, aos 121.473 pontos, na máxima do dia",Diminuição,1
2024-12-20 15:04:00,Começa participação de Campos Neto em live de despedida do BC; acompanhe,Diminuição,-1
2024-12-20 15:09:00,Giro das 15h: Bolsas disparam em NY com possível saída do shutdown; dolar cai e Ibovespa sobe com BC e pacote fiscal,Aumento,-1
2024-12-20 15:10:00,"EUA/Baker Hughes: Número de poços e plataformas de petróleo em atividade aumenta em 1 na semana, para 483",Aumento,1
2024-12-20 15:16:00,"Taxa Ptax fecha em R$ 6,0780, baixa de 1,72%",Diminuição,1
2024-12-20 15:24:00,"Campos Neto: Conquista da autonomia foi grande ganho para o BC, mas trabalho não terminou",Diminuição,1
2024-12-20 15:26:00,Lula publica vídeo no X ao lado de Galípolo e Haddad,Diminuição,-1
2024-12-20 15:28:00,Lula: Estamos oferecendo um presente ao Brasil: esse jovem chamado Galípolo está assumindo o BC,Aumento,-1
2024-12-20 15:28:00,Lula diz a Galípolo: Jamais haverá qualquer interferência no trabalho que você tem no BC,Aumento,-1
2024-12-20 15:29:00,Lula diz a Galípolo: Você vai ser o presidente com mais autonomia que o BC já teve,Aumento,-1
2024-12-20 15:29:00,Certamente você vai dar uma lição de como é governar o BC com autonomia,Aumento,-1
2024-12-20 15:30:00,Lula: Tomamos as medidas necessárias para proteger as novas regras fiscais,Aumento,-1
2024-12-20 15:30:00,Estabilidade econômica e combate à inflação são o mais importante para proteger salários,Aumento,-1
2024-12-20 15:33:00,"Eneva fecha contrato com a produtora de carbeto de silício SiCBRAS, do grupo Granha Ligas, para fornecimento de energia elétrica do Complexo Solar Futura I, por 15 anos",Diminuição,1
2024-12-20 15:33:00,Mercado doméstico reage a declarações de Lula,Diminuição,-1
2024-12-20 15:33:00,"dolar à vista recua 1,08%, para R$ 6,0578, perto da mínima do dia (R$ 6,0525)",Diminuição,1
2024-12-20 15:33:00,"Ibovespa avança 0,45%, aos 121.731 pontos",Diminuição,1
2024-12-20 15:33:00,"Juros futuros ampliam queda: DI Jan27 a 15,160%; Jan/29 a 14,700%; Jan31 a 14,380%",Diminuição,1
2024-12-20 15:34:00,"Colombia: BC reduz taxa de juros em 25 pb, para 9,5%; decisão não foi unânime",Diminuição,-1
2024-12-20 15:40:00,Lira avalia como erro adiar votação do Orçamento,Diminuição,-1
2024-12-20 15:42:00,EUA: Trump quer meta de 5% do PIB com gastos em defesa para Otan,Diminuição,-1
2024-12-20 15:46:00,Cobre passa por correção após forte baixa provocada pela decisão do Fed de reduzir ritmo de cortes de juros nos EUA em 2025,Aumento,-1
2024-12-20 15:46:00,"Na Comex, o contrato para março subiu 0,75%, a US$ 4,1005 por libra-peso; na semana, caiu 2,17%",Aumento,1
2024-12-20 15:46:00,"Na LME, o contrato para três meses tinha alta de 0,60% há pouco, para US$ 8.938 por tonelada; na semana, perdia 1,29%",Aumento,1
2024-12-20 15:47:00,"Ibovespa recupera os 122 mil pontos, alta de 0,68%",Diminuição,1
2024-12-20 15:49:00,Campos Neto: Pix pode fazer muito mais coisa do que ele faz hoje,Diminuição,-1
2024-12-20 15:56:00,Campos Neto: Não posso dizer que os últimos seis anos foram calmos,Aumento,-1
2024-12-20 15:58:00,EMPRESAS: Ações ligadas ao ciclo econômico se destacam entre as altas com alívio dos juros futuros,Aumento,-1
2024-12-20 15:59:00,"Campos Neto: Inflação global não caiu a contento, então juro no mundo será mais alto por mais tempo",Aumento,-1
2024-12-20 15:59:00,Termina live do BC com Campos Neto,Aumento,-1
2024-12-20 16:09:00,"ACENO. Em quase dois anos de mandato, é a primeira vez que Lula faz um aceno amistoso ao mercado. Dessa vez, não teve crítica aos juros altos, nem citação direta da Faria Lima. O presidente cedeu aos apelos da equipe econômica e gravou um vídeo defendendo a autonomia do BC e apoiando Galípolo, a quem considera como um ""presente para o Brasil"". Tudo isso, no mesmo dia em que o Congresso terminou de aprovar o pacote fiscal, em tempo recorde e com pouca desidratação, se comparado aos temores do mercado. ""Você será certamente o mais importante presidente do BC que esse país já teve, porque será o presidente com mais autonomia que o BC já teve. Pela sua qualidade profissional, experiência de vida e compromisso com o povo brasileiro. Certamente, vai dar uma lição de como se governa o BC com verdadeira autonomia"" disse Lula a Galípolo, na companhia de Haddad.",Diminuição,-1
2024-12-20 16:12:00,Campos Neto: Demos exemplo de transição suave no BC,Aumento,-1
2024-12-20 16:22:00,"EUA: PCE de novembro mostra inflação ainda elevada, mas sem sinal de voltar a subir, avalia Oxford",Diminuição,-1
2024-12-20 16:26:00,"Ciclo de alta da Selic pode agravar trajetória fiscal, aponta Fitch",Aumento,-1
2024-12-20 16:29:00,BCE/Guindos diz que guerra comercial é extremamente negativa para a economia global,Aumento,-1
2024-12-20 16:36:00,"EMPRESAS: Petrobras mantém-se no campo negativo, mesmo com melhora do petróleo",Aumento,-1
2024-12-20 16:57:00,MERCADOS: Ouro encerra sequência de perdas e avança com risco de shutdown nos EUA,Aumento,-1
2024-12-20 17:01:00,"Petróleo/fechamento: Brent para fevereiro fecha em alta de 0,08%, a US$ 72,94 por barril, na ICE",Diminuição,1
2024-12-20 17:01:00,"WTI para fevereiro registra alta de 0,12%, a US$ 69,46 por barril, na Nymex",Diminuição,1
2024-12-20 17:03:00,"dolar à vista fecha em baixa de 0,84%, a R$ 6,0721, após oscilar entre R$ 6,0458 e R$ 6,1140",Aumento,1
2024-12-20 17:03:00,"Na semana, moeda subiu 0,68%",Aumento,1
2024-12-20 17:08:00,"MERCADOS: Petróleo encerra de lado, com alívio no dolar e atenção ao shutdown",Aumento,-1
2024-12-20 17:12:00,"Lula fala em mudanças no governo durante almoço de fim de ano com ministros, mas não explica quais mudanças quer fazer nem quando (fontes do Broadcast)",Aumento,-1
2024-12-20 17:16:00,Lula pede a ministros divulgação de ações do governo e diz que vai desacelerar (fontes do Broadcast),Aumento,-1
2024-12-20 17:16:00,"Presidente afirmou que vai obedecer às ordens médicas, que restringem sua agenda pelos próximos 45 dias",Aumento,-1
2024-12-20 17:26:00,"MERCADOS: dolar recua com nova injeção do BC, avanço do pacote fiscal e aceno de Lula",Aumento,-1
2024-12-20 17:31:00,Petrobras inclui cláusula de promoção de direitos humanos em contratos com fornecedores,Diminuição,-1
2024-12-20 17:37:00,Lira defende mais espaço para Câmara em reforma ministerial e diz a aliados que união da base depende de diálogo com Lula,Aumento,-1
2024-12-20 17:43:00,Lula sinaliza a ministros que quer pacificação com o mercado,Diminuição,-1
2024-12-20 17:43:00,Lula também disse a ministros que governo não pode gastar mais do que arrecada,Diminuição,-1
2024-12-23 09:06:00,EMPRESAS: Dexco vende 8 mil hectares de florestas por R$ 200 milhões,Aumento,-1
2024-12-23 09:06:00,"dolar sobe 0,68%, a R$ 6,1131; dolar futuro, 0,29%, a R$ 6,1175",Aumento,1
2024-12-23 09:06:00,Juros futuros abrem em alta,Aumento,1
2024-12-23 09:06:00,"Ibovespa futuro cai 0,41% (123.390)",Aumento,1
2024-12-23 09:09:00,"Barr, do Fed, busca aconselhamento jurídico em meio a especulações de que Trump pode removê-lo, dizem fontes",Aumento,-1
2024-12-23 09:18:00,"EMPRESAS: Petrobras realizará hoje o pagamento de dividendos extraordinários no valor bruto de R$ 1,55174293 por ação ordinária e preferencial",Diminuição,-1
2024-12-23 09:28:00,"FGV: indice de Confiança da Construção subiu 0,9 ponto em dezembro, para 96,6 pontos",Aumento,1
2024-12-23 09:28:00,"Na média móvel trimestral, o índice variou -0,2 ponto, segundo resultado negativo consecutivo",Aumento,1
