cleaned_article,label,classification_binary,misclassification_type
entendimento governo congresso analisar relatório bimestral veto lula bi emenda comissão esforço equipe econômico limitar contingenciamento,-1,1,-1 misclassified as 1
consulta tribunal planejamento estimar regra prever ldo limitar bloqueio bi cerca bi mercado estimar necessário cumprimento meta,-1,1,-1 misclassified as 1
ficar ansiedade ar haddad continuar bancar promessa sobrevida déficit melhora percepção fiscal início ano fazenda dar algum choque imediato realidade,-1,1,-1 misclassified as 1
galípolo guillen andar telegrafar compromisso corte especial liquidação custódia quebrar algum avaliação banco,-1,1,-1 misclassified as 1
captações governo pedir senado ampliação bilhão bilhão bilhão teto estabelecer emissão título público exterior informar estadão,-1,1,-1 misclassified as 1
dólar acompanhar clima ruim testar teto grande dia pressão diminuir expectativa copom conservador favorecer carry trade,-1,1,-1 misclassified as 1
treasuries juro note ano avançar note ano subir ano cair,1,-1,1 misclassified as -1
vale presidente substituir eduardo bartolomeo acionista representativo mineradora,1,-1,1 misclassified as -1
apesar desconfiança fiscal campos neto manifestar entrevista folha semana otimismo governo lula condição entregar déficit projeção mercado produto interno bruto,1,-1,1 misclassified as -1
dólar fechar baixa perda semanal semana,1,-1,1 misclassified as -1
medido ism pmi industrial estados unidos cair fevereiro ante janeiro previsão,1,-1,1 misclassified as -1
consumidor ficar otimista índice sentimento universidade michigan cair fevereiro janeiro analista esperar avanço,1,-1,1 misclassified as -1
investimento construção cair janeiro ante dezembro esperar alta,1,-1,1 misclassified as -1
robert holzmann bce voltar alertar corte prematuro juro ing lentidão desinflação levar bce manter juro março abril mesmo opinião bofa oxford capital economics,1,-1,1 misclassified as -1
libra avançar huw pill boe dizer corte juro demor preciso evitar falso sensação segurança avaliar inflação caminhar meta,1,-1,1 misclassified as -1
iene cair índice dxy recuar dia cair semana,1,-1,1 misclassified as -1
dweck prever aumento salarial porcentual linear,1,-1,1 misclassified as -1
consulta tcu planejamento estimar regra prever ldo limitar bloqueio bi cerca bi mercado estimar necessário governo cumprir meta,-1,1,-1 misclassified as 1
círculo registrar acumulado fevereiro fuga capital externo ano pandemia coronavírus prestes estourar,-1,1,-1 misclassified as 1
fechamento depósito interfinanceiro cair depósito interfinanceiro cair fechar estável,1,-1,1 misclassified as -1
pl votar abril vigência medida provisória maio haddad afirmar medida provisória atualmente revogar perse reonerar prefeitura limitar compensação tributário ser mantir,-1,1,-1 misclassified as 1
dia ministra simone tebet antecipar bloqueio esperar surpresa positivo arrecadação federal janeiro fevereiro divulgar,-1,1,-1 misclassified as 1
tentativa melhorar ambiente congressista lula promover happy hour noite palácio alvorada pacheco senador semana receber deputado,-1,1,-1 misclassified as 1
câmbio monitorar transação corrente previsão déficit bi janeiro saldo negativo bilhão dezembro idp mediana indicar entrada líquido bi,-1,1,-1 misclassified as 1
agenda indicador relatório adp criação vaga emprego setor privado fevereiro acima janeiro eler expectativa mercado payroll,1,-1,1 misclassified as -1
melhora percepção risco fiscal doméstico contribuir tirar prêmio curva,1,-1,1 misclassified as -1
comentário positivo campos neto simone tebet véspera continuar impacto mercado precificação especial liquidação custódia terminal voltar ficar abaixo curva depósito interfinanceiro,1,-1,1 misclassified as -1
fechamento depósito interfinanceiro cair depósito interfinanceiro cair,1,-1,1 misclassified as -1
encomenda indústria cair janeiro ante dezembro pior esperar,1,-1,1 misclassified as -1
pmis serviço vier misto acompanhado mercado medido ism recuar fevereiro janeiro previsão,1,-1,1 misclassified as -1
meta haddad zerar déficit ano seguir desafio bloqueio gasto março descartado relatório bimestral receita despesa de aqui exatamente semana,-1,1,-1 misclassified as 1
pec autonomia financeira banco central relator senador plínio valério otimista tramitação proposta andar independente resistência enfrentar governo,1,-1,1 misclassified as -1
pec apresentar dezembro defender abertamente campos neto entrevista recente folha,1,-1,1 misclassified as -1
resultado primário positivo divulgar banco central ano ficar acima expectativa,1,-1,1 misclassified as -1
acompanhando baixa moeda dólar vista fechar leve queda,1,-1,1 misclassified as -1
mudança linguagem preparario espírito investidor corte pequeno especial liquidação custódia semestre poder abalar convicção especial liquidação custódia terminal abaixo dígito levantamento focus,1,-1,1 misclassified as -1
vetos planalto adiar semana passado amanhã reunião parlamentar comissão mista orçamento tratar impasse torno veto fazer presidente lula ldo,1,-1,1 misclassified as -1
assunto vinhr gerar pressão parlamentar distensionar governo ceder cumprir calendário pagamento emenda previsto projeto decisão veto sair dia,1,-1,1 misclassified as -1
ppi venda varejo sair produção industrial fevereiro índice atividade industrial empire state março expectativa inflação ano medir univ michigan,-1,1,-1 misclassified as 1
correção techs bolsa ler positivo payroll fevereiro chegar subir,1,-1,1 misclassified as -1
estados unidos criar emprego acima esperado dado dezembro janeiro revisar total emprego,1,-1,1 misclassified as -1
dado razão fed pressa cortar juro yield note ano subir ano avançar,1,-1,1 misclassified as -1
acumulado aposta indicar desaceleração abaixo teto meta,1,-1,1 misclassified as -1
citar dinâmica inflação serviço itaú elevar projeção especial liquidação custódia,-1,1,-1 misclassified as 1
meta fiscal técnicos governo ouvir exame afirmar equipe econômico estimar déficit fiscal equivalente produto interno bruto invés relatório bimestral receita despesa sair dia,-1,1,-1 misclassified as 1
ibov descer degrau fechar giro bi,-1,1,-1 misclassified as 1
retorno depósito interfinanceiro cair depósito interfinanceiro,1,-1,1 misclassified as -1
treasuries toada mesmo prudência índice preço consumidor curto subir mercado posicionar dado,-1,1,-1 misclassified as 1
